"","fulltimes","avg"
"V89",97,8.7973287464103
"V90",98,8.73252626380396
"V91",99,8.66859405602118
"V92",100,8.60551237424366
"V93",101,8.5432671441956
"V94",102,8.48183966273705
"V95",103,8.42121384814384
"V96",104,8.36137560241531
"V97",105,8.30231132698319
"V98",106,8.24400280652096
"V99",107,8.18643902647034
"V100",108,8.12960130100669
"V101",109,8.07347974456237
"V102",110,8.01806100648144
"V103",111,7.96333214628897
"V104",112,7.90928052537213
"V105",113,7.85589368697551
"V106",114,7.80315966734825
"V107",115,7.75106688973773
"V108",116,7.69960361816802
"V109",117,7.64875874679478
"V110",118,7.59852172134468
"V111",119,7.54888188157862
"V112",120,7.49982896448816
"V113",121,7.45135284735543
"V114",122,7.40344386284561
"V115",123,7.35609247317278
"V116",124,7.30928943747892
"V117",125,7.26302572464561
"V118",126,7.21729243570227
"V119",127,7.17208086388487
"V120",128,7.12738242386108
"V121",129,7.08318884621437
"V122",130,7.03949196635984
"V123",131,6.99628392755432
"V124",132,6.95355689731256
"V125",133,6.91130330508317
"V126",134,6.8695156898684
"V127",135,6.82818676419654
"V128",136,6.78730933443907
"V129",137,6.74687655491045
"V130",138,6.70688149679624
"V131",139,6.66731738617332
"V132",140,6.62817784182975
"V133",141,6.58945639522064
"V134",142,6.55114672815172
"V135",143,6.51324270043337
"V136",144,6.47573836819077
"V137",145,6.43862775517851
"V138",146,6.4019052797334
"V139",147,6.36556487597362
"V140",148,6.32960129583123
"V141",149,6.29400887459756
"V142",150,6.25878253179592
"V143",151,6.22391676951393
"V144",152,6.18940650197877
"V145",153,6.15524689679676
"V146",154,6.12143284753798
"V147",155,6.08795948744894
"V148",156,6.05482203919749
"V149",157,6.02201582200187
"V150",158,5.98953614122869
"V151",159,5.95737860650285
"V152",160,5.92553868790157
"V153",161,5.89401229079684
"V154",162,5.86279496101456
"V155",163,5.83188256639995
"V156",164,5.80127094773876
"V157",165,5.77095603791332
"V158",166,5.74093379025182
"V159",167,5.71120037780917
"V160",168,5.68175200331633
"V161",169,5.65258477727298
"V162",170,5.62369514648764
"V163",171,5.59507942158383
"V164",172,5.5667340115178
"V165",173,5.53865539383354
"V166",174,5.51084017476562
"V167",175,5.48328488432806
"V168",176,5.45598615374144
"V169",177,5.42894090264315
"V170",178,5.4021456285118
"V171",179,5.37559750538248
"V172",180,5.34929309324181
"V173",181,5.32322915068718
"V174",182,5.29740313962949
"V175",183,5.27181194675352
"V176",184,5.24645277131983
"V177",185,5.22132259320911
"V178",186,5.19641825700251
"V179",187,5.17173750626359
"V180",188,5.14727706009938
"V181",189,5.12303472545923
"V182",190,5.09900760401421
"V183",191,5.07519315830878
"V184",192,5.0515887236037
"V185",193,5.02819187857983
"V186",194,5.00499989821645
"V187",195,4.98201066730827
"V188",196,4.95922156664975
"V189",197,4.93663012750875
"V190",198,4.9142341225599
"V191",199,4.89203122596856
"V192",200,4.87001940558967
"V193",201,4.84819629563859
"V194",202,4.82655955244207
"V195",203,4.8051070951076
"V196",204,4.78383664715963
"V197",205,4.76274619160371
"V198",206,4.7418337477076
"V199",207,4.72109700325502
"V200",208,4.70053432078982
"V201",209,4.68014343422323
"V202",210,4.65992253651958
"V203",211,4.6398696664962
"V204",212,4.61998288868709
"V205",213,4.60026022843976
"V206",214,4.580699984131
"V207",215,4.56130031239796
"V208",216,4.54205952895253
"V209",217,4.52297561877823
"V210",218,4.5040468774484
"V211",219,4.48527189911605
"V212",220,4.46664864689376
"V213",221,4.4481754513241
"V214",222,4.42985104244385
"V215",223,4.41167341436274
"V216",224,4.39364109255872
"V217",225,4.37575261029728
"V218",226,4.35800608857016
"V219",227,4.34040035178288
"V220",228,4.32293356087491
"V221",229,4.30560446869838
"V222",230,4.28841153055748
"V223",231,4.27135326514338
"V224",232,4.25442823914784
"V225",233,4.23763525517445
"V226",234,4.22097231765718
"V227",235,4.20443879512464
"V228",236,4.18803294005209
