"koutb","koutn","k1b","k1n","k12b","k21b","k13b","k31b","k12n","k21n","A1","B1","n","A2","B2","n2"
0.001983905,0.005185507,0.000177381,0.00181101354830781,0.001554029,0.000975065,0.001625661,0.000144062,0.006375154,0.00068059,4.778e-05,0.0001931,0.6289,0.0001168,0.04945,0.9289
0.002201873,0.005070427,0.000171997,0.00168723125240251,0.002557251,0.001088156,0.001907625,0.000138938,0.006578836,0.000712767,6.119e-05,0.000195,0.589,0.0001386,0.02132,0.8345
0.002103498,0.00557844,0.000137333,0.00173531408373913,0.001841079,0.000953466,0.001542768,0.000152189,0.006948425,0.000741088,5.919e-05,0.000194,0.5982,9.763e-05,0.0285,0.9112
0.002254056,0.003914982,0.000126428,0.00167844229300908,0.003027484,0.001289055,0.001943436,0.000165005,0.005306163,0.000914668,6.301e-05,0.0001929,0.5849,0.000244,0.0613,0.8478
0.001909657,0.004364892,0.000197536,0.00181213276718102,0.00181021,0.000864965,0.001853003,0.000174184,0.006673548,0.000823506,4.56e-05,0.0001937,0.6313,0.0001551,0.03956,0.86
0.002044601,0.005277545,0.000152832,0.0017318195342103,0.002610992,0.001726796,0.001646078,0.000129133,0.008674079,0.00095085,0.0001031,0.0001939,0.5,0.0001978,0.03907,0.8312
0.001921137,0.004816669,0.000118569,0.00189942994113392,0.001858863,0.001006084,0.00161252,0.000160099,0.009241132,0.000924238,6.781e-05,0.0001945,0.5671,0.0001177,0.03292,0.8889
0.002076687,0.005701261,0.000170094,0.00168608526267667,0.002522859,0.001348101,0.001902769,0.000139305,0.006337018,0.000656591,5.615e-05,0.0001934,0.5967,0.000125,0.03781,0.8959
0.002039907,0.005468541,0.000152734,0.00177278550598182,0.002537178,0.000917383,0.001718969,0.000144631,0.005441736,0.000645351,9.992e-05,0.0001934,0.5057,0.0001448,0.03799,0.8866
0.001650488,0.005198389,0.000104607,0.00199465636368502,0.001822339,0.001070281,0.001161356,0.000109572,0.005815109,0.000699837,6.203e-05,0.0001947,0.5767,0.0001553,0.02858,0.8404
0.002065276,0.004888907,7.75e-05,0.00176725087168685,0.002115233,0.000776181,0.001779125,0.00015507,0.006258817,0.000713381,6.258e-05,0.0001936,0.5817,0.0001603,0.03899,0.8502
0.001669431,0.004864249,0.000161271,0.00206315064761617,0.001393018,0.000906406,0.001349593,0.000138418,0.007518876,0.000875821,7.339e-05,0.0001921,0.5555,9.397e-05,0.03522,0.9357
0.001697197,0.004881082,0.000103452,0.00191865697507026,0.001994749,0.001123725,0.001572176,0.000149688,0.007281133,0.000808815,5.046e-05,0.000195,0.626,0.0002024,0.0395,0.8147
0.002380235,0.004919517,0.00019202,0.00163615778160386,0.002168103,0.000680307,0.001554614,0.000123249,0.005121925,0.000607118,4.916e-05,0.0001929,0.6334,0.0001483,0.03566,0.8749
0.002180623,0.004899313,0.000168895,0.00169800983336509,0.002637629,0.000903203,0.001967368,0.000156588,0.008804421,0.001045075,3.426e-05,0.0001937,0.6867,0.0001862,0.04606,0.8522
0.002266376,0.004910003,0.000172923,0.00161996201376719,0.002653271,0.000986346,0.001860869,0.000133536,0.006109062,0.000682432,4.302e-05,0.0001949,0.6401,0.0001796,0.05687,0.8889
