F1,kin,kout,ktr,kout2,k1,k2,k12,k21,A1,B1,n,A2,B2,n2,V1
0.6349,0.0001775,0.000796031,0.004741,89.26,0.000743268,0.001774,0.003749478,0.000444593,1.68E-06,0.0002444,1.309,0.00008694,0.02205,0.8334,3224
0.6349,0.0001775,0.000997088,0.004741,89.26,0.000640256,0.001774,0.002623867,0.000402414,4.85E-06,0.0002698,1.07,0.0001173,0.02318,0.7953,3224
0.6349,0.0001775,0.00084324,0.004741,89.26,0.000629125,0.001774,0.003178367,0.000403678,1.00E-06,0.000193,1.42,0.00006296,0.02239,0.8941,3224
0.6349,0.0001775,0.001006821,0.004741,89.26,0.000566975,0.001774,0.003130827,0.000372141,3.07E-06,0.0002724,1.181,0.0001226,0.02299,0.7829,3224
0.6349,0.0001775,0.000830105,0.004741,89.26,0.000788527,0.001774,0.003022046,0.000411378,1.00E-06,0.0001866,1.426,0.00008809,0.02253,0.8354,3224
0.6349,0.0001775,0.000966332,0.004741,89.26,0.000687521,0.001774,0.002838844,0.000396869,3.16E-06,0.0002855,1.183,0.0000908,0.02328,0.8391,3224
0.6349,0.0001775,0.000627724,0.004741,89.26,0.000685167,0.001774,0.002838649,0.00043228,8.43E-06,0.0003219,0.9626,0.000107,0.02327,0.8072,3224
0.6349,0.0001775,0.000707594,0.004741,89.26,0.000698138,0.001774,0.002388617,0.000342701,1.35E-05,0.000348,0.8511,0.00009086,0.02392,0.8334,3224
0.6349,0.0001775,0.000805204,0.004741,89.26,0.000722608,0.001774,0.003890609,0.000470219,5.85E-06,0.0003184,1.053,0.00009312,0.02316,0.8304,3224
0.6349,0.0001775,0.000854062,0.004741,89.26,0.00065323,0.001774,0.003077921,0.000380746,1.64E-06,0.0002306,1.315,0.00009901,0.02338,0.8276,3224
0.6349,0.0001775,0.000600621,0.004741,89.26,0.000695003,0.001774,0.002315287,0.000362397,2.69E-06,0.0002679,1.211,0.0000711,0.02245,0.8682,3224
0.6349,0.0001775,0.000812074,0.004741,89.26,0.000726941,0.001774,0.002515772,0.000362559,4.02E-06,0.0002928,1.137,0.000082,0.02368,0.8566,3224
0.6349,0.0001775,0.000777006,0.004741,89.26,0.000663369,0.001774,0.002689814,0.000351971,4.69E-06,0.0003004,1.096,0.00006549,0.02162,0.8724,3224
0.6349,0.0001775,0.001020305,0.004741,89.26,0.000708292,0.001774,0.003146424,0.000436358,1.64E-06,0.0002223,1.317,0.00006491,0.02208,0.8769,3224
0.6349,0.0001775,0.001003073,0.004741,89.26,0.000649837,0.001774,0.003852142,0.00040935,1.23E-06,0.0002075,1.372,0.00007513,0.02207,0.8552,3224
0.6349,0.0001775,0.000856739,0.004741,89.26,0.000468853,0.001774,0.003083095,0.000345535,1.50E-06,0.0002195,1.337,0.00008315,0.02184,0.8433,3224
0.6349,0.0001775,0.000725519,0.004741,89.26,0.000794969,0.001774,0.003155613,0.000423618,1.00E-06,0.0001661,1.421,0.0001442,0.02392,0.7689,3224
0.6349,0.0001775,0.000826632,0.004741,89.26,0.00074368,0.001774,0.003164348,0.000389196,8.54E-06,0.0003385,0.9743,0.00007085,0.02189,0.8626,3224
0.6349,0.0001775,0.00074002,0.004741,89.26,0.000720271,0.001774,0.002329283,0.000387016,5.94E-06,0.0003235,1.035,0.00008264,0.02289,0.8455,3224
0.6349,0.0001775,0.001110652,0.004741,89.26,0.000616038,0.001774,0.003950446,0.000413313,7.75E-06,0.0003323,1.006,0.00005453,0.02197,0.908,3224
0.6349,0.0001775,0.000871397,0.004741,89.26,0.000655,0.001774,0.002354119,0.000329519,8.15E-06,0.000334,1.003,0.00009344,0.02302,0.8269,3224
0.6349,0.0001775,0.000933558,0.004741,89.26,0.000769076,0.001774,0.002882991,0.000379122,2.17E-06,0.0002516,1.249,0.0000978,0.0234,0.8275,3224
0.6349,0.0001775,0.000798694,0.004741,89.26,0.000647372,0.001774,0.002609619,0.000338796,1.00E-06,0.0002077,1.419,0.00005331,0.02311,0.9164,3224
0.6349,0.0001775,0.001054444,0.004741,89.26,0.000762791,0.001774,0.003323793,0.000392857,2.58E-06,0.0002472,1.216,0.00005742,0.02184,0.8994,3224
0.6349,0.0001775,0.000578333,0.004741,89.26,0.000623399,0.001774,0.002624875,0.000386602,1.17E-05,0.0003551,0.8896,0.0001265,0.02275,0.7795,3224
0.6349,0.0001775,0.000998046,0.004741,89.26,0.000597568,0.001774,0.003330465,0.000419679,2.96E-06,0.0002552,1.186,0.00007181,0.02244,0.8643,3224
0.6349,0.0001775,0.00087442,0.004741,89.26,0.000668495,0.001774,0.002757458,0.000322077,7.24E-06,0.0003316,1.019,0.00008381,0.02339,0.8483,3224
0.6349,0.0001775,0.001200786,0.004741,89.26,0.00073473,0.001774,0.003477851,0.000380214,1.36E-06,0.0002312,1.355,0.00008579,0.0219,0.8354,3224
0.6349,0.0001775,0.000943273,0.004741,89.26,0.000659656,0.001774,0.003948422,0.000429986,3.45E-06,0.0002845,1.145,0.0001196,0.02364,0.8013,3224
0.6349,0.0001775,0.000946583,0.004741,89.26,0.000523778,0.001774,0.003068242,0.000419919,4.86E-06,0.0003039,1.1,0.00008763,0.02314,0.8397,3224
0.6349,0.0001775,0.000852755,0.004741,89.26,0.000659377,0.001774,0.002611401,0.000343489,1.16E-06,0.0002002,1.387,0.0001392,0.02275,0.76,3224
0.6349,0.0001775,0.000572892,0.004741,89.26,0.000821624,0.001774,0.003787276,0.000473318,1.09E-05,0.000387,0.9361,0.00007151,0.02307,0.8714,3224
0.6349,0.0001775,0.00062343,0.004741,89.26,0.000716632,0.001774,0.002398826,0.000384326,1.00E-06,0.0001858,1.422,0.00008983,0.02297,0.8334,3224
0.6349,0.0001775,0.000643424,0.004741,89.26,0.000852828,0.001774,0.00306023,0.000418155,1.44E-06,0.0002239,1.345,0.0000595,0.02226,0.8938,3224
0.6349,0.0001775,0.001070678,0.004741,89.26,0.000760562,0.001774,0.004583846,0.000510501,1.61E-06,0.0002394,1.325,0.0001156,0.0232,0.7953,3224
0.6349,0.0001775,0.000939478,0.004741,89.26,0.000598464,0.001774,0.002221664,0.00035727,8.39E-06,0.0003628,0.9714,0.00006936,0.02329,0.8789,3224
0.6349,0.0001775,0.000519626,0.004741,89.26,0.000732806,0.001774,0.002840759,0.000358073,1.00E-06,0.0001778,1.428,0.0001266,0.02205,0.7752,3224
0.6349,0.0001775,0.000786366,0.004741,89.26,0.000626501,0.001774,0.002394317,0.000347892,1.00E-06,0.000153,1.423,0.0000854,0.02285,0.8491,3224
0.6349,0.0001775,0.000804937,0.004741,89.26,0.000766984,0.001774,0.003688557,0.000387711,4.80E-06,0.0003076,1.083,0.00006336,0.02211,0.881,3224
0.6349,0.0001775,0.001191725,0.004741,89.26,0.000814801,0.001774,0.003301709,0.000394608,6.69E-06,0.0003406,1.024,0.0000895,0.02276,0.8335,3224
0.6349,0.0001775,0.000848264,0.004741,89.26,0.000601123,0.001774,0.002491524,0.000419816,1.30E-06,0.0002154,1.37,0.00007083,0.02241,0.8684,3224
0.6349,0.0001775,0.000731129,0.004741,89.26,0.000690694,0.001774,0.002594279,0.000324849,7.90E-06,0.0003228,0.9743,0.0001091,0.0223,0.8003,3224
0.6349,0.0001775,0.00101521,0.004741,89.26,0.000554366,0.001774,0.002981203,0.000307571,8.59E-06,0.0003128,0.9607,0.00009203,0.02321,0.8349,3224
0.6349,0.0001775,0.001116923,0.004741,89.26,0.000698887,0.001774,0.003371591,0.000317327,2.93E-06,0.0002576,1.19,0.00008586,0.02285,0.8399,3224
