kout,k12,k13,k21,k31,A1,B1,n,A2,B2,n2
0.002548705,0.002889218,0.003865876,0.002503192,0.000205093,4.32E-05,0.003855,0.8334,0.0002024,0.0395,0.8147
0.002090035,0.00295734,0.003492239,0.001848292,0.000244679,3.60E-05,0.003494,0.8541,0.0001483,0.03566,0.8749
0.002371859,0.003942155,0.003535963,0.002126993,0.000251467,3.27E-05,0.003285,0.8596,0.0001862,0.04606,0.8522
0.001750132,0.002566149,0.003222931,0.002943701,0.000266646,3.99E-05,0.003598,0.8366,0.0001796,0.05687,0.8889
0.002453119,0.002328788,0.00359747,0.002467508,0.000235629,2.84E-05,0.003191,0.8834,0.0001383,0.03212,0.8628
0.002545743,0.003072714,0.003602561,0.002004672,0.000267975,3.44E-05,0.003702,0.87,7.99E-05,0.03435,0.9429
0.001864458,0.002227931,0.004237584,0.002225948,0.000212167,3.17E-05,0.003428,0.874,0.0001748,0.03601,0.8401
0.001922031,0.003815037,0.003931724,0.001785595,0.000242123,3.61E-05,0.003439,0.8442,0.0001702,0.03848,0.8528
0.002082891,0.004194041,0.00380332,0.002351077,0.000207502,3.53E-05,0.003496,0.8542,0.0002367,0.05203,0.8401
0.002063975,0.00261243,0.002476953,0.002574826,0.000212815,3.47E-05,0.003528,0.8576,0.0001347,0.03288,0.874
0.002377106,0.001980307,0.004247728,0.002463173,0.000214256,3.90E-05,0.003632,0.8427,0.0001927,0.0488,0.8552
0.001816203,0.003729605,0.003445197,0.002600743,0.000280528,3.64E-05,0.003503,0.8502,0.0001686,0.04683,0.8715
0.002046634,0.003754707,0.003715046,0.001795864,0.000246583,4.51E-05,0.00399,0.8301,0.0001149,0.03491,0.9016
0.002353085,0.003518333,0.003477771,0.001985697,0.000216115,3.86E-05,0.003777,0.8477,0.0001753,0.03945,0.8497
0.002172851,0.003234498,0.003245493,0.001859933,0.000238292,3.21E-05,0.00332,0.872,0.0001657,0.03822,0.8641
0.003332657,0.002828892,0.003709632,0.003056074,0.000246837,3.17E-05,0.003453,0.8731,0.0002435,0.03851,0.801
0.002445415,0.002887822,0.004573269,0.002073819,0.000230433,3.56E-05,0.003659,0.8614,0.0001416,0.02615,0.8497
0.002070343,0.0038908,0.005522719,0.001805083,0.000235336,3.46E-05,0.003459,0.857,0.0001341,0.03329,0.8842
0.00224644,0.003532888,0.003987411,0.001831395,0.000243732,3.51E-05,0.003604,0.858,9.44E-05,0.03928,0.9343
0.002082585,0.003070483,0.003203126,0.002631532,0.000211036,2.82E-05,0.003286,0.887,0.0002652,0.06447,0.8364
0.003004768,0.00336603,0.00316727,0.002038611,0.000239867,3.05E-05,0.003172,0.8694,9.77E-05,0.05124,0.9505
0.001892365,0.002914134,0.005380996,0.002495321,0.000232372,3.45E-05,0.003598,0.8642,0.000148,0.03123,0.8623
0.001721212,0.003296722,0.003316023,0.001435873,0.000244111,3.69E-05,0.003621,0.8481,0.0001361,0.03033,0.8656
0.00172353,0.00289733,0.005043582,0.001925836,0.000218267,4.04E-05,0.003655,0.8371,0.0002084,0.03331,0.8106
0.002362608,0.002453012,0.003878021,0.002181594,0.000233386,3.56E-05,0.003355,0.8494,0.000238,0.04467,0.8381
