"","fulltimes","avg"
"V367",375,0.218493658232917
"V368",376,0.217966854606859
"V369",377,0.217442949288742
"V370",378,0.216921919812987
"V371",379,0.216403744184753
"V372",380,0.215888400586707
"V373",381,0.215375866071192
"V374",382,0.214866099055664
"V375",383,0.2143591213685
"V376",384,0.213854900054596
"V377",385,0.213353404523187
"V378",386,0.212854615078973
"V379",387,0.21235851154644
"V380",388,0.211865073728063
"V381",389,0.211374281692597
"V382",390,0.210886115646579
"V383",391,0.210400556046813
"V384",392,0.209917583504759
"V385",393,0.20943717854481
"V386",394,0.208959322435487
"V387",395,0.208483997150485
"V388",396,0.208011184693623
"V389",397,0.207540866673765
"V390",398,0.207073024696381
"V391",399,0.206607640594194
"V392",400,0.20614469632164
"V393",401,0.205684174041502
"V394",402,0.205226056000529
"V395",403,0.20477032391863
"V396",404,0.204316960336789
"V397",405,0.203865947379591
"V398",406,0.203417266771005
"V399",407,0.202970909715831
"V400",408,0.202526856537949
"V401",409,0.202085088027435
"V402",410,0.201645587883713
"V403",411,0.201208339961405
"V404",412,0.200773328171874
"V405",413,0.200340535979019
"V406",414,0.199909947510766
"V407",415,0.199481547678332
"V408",416,0.199055321466561
"V409",417,0.198631253622066
"V410",418,0.198209328862752
"V411",419,0.197789532018074
"V412",420,0.197371848002454
"V413",421,0.196956261865396
"V414",422,0.196542758713822
"V415",423,0.196131284400491
"V416",424,0.195721912978249
"V417",425,0.195314578304519
"V418",426,0.194909266834537
"V419",427,0.194505965119715
"V420",428,0.194104659564288
"V421",429,0.193705336509671
"V422",430,0.193307982367875
"V423",431,0.19291258366675
"V424",432,0.192519126995594
"V425",433,0.192127595365202
"V426",434,0.191737965474481
"V427",435,0.19135025813323
"V428",436,0.190964438443972
"V429",437,0.190580494263009
"V430",438,0.190198413289797
"V431",439,0.189818183122925
"V432",440,0.189439791429597
"V433",441,0.189063225976972
"V434",442,0.188688474590533
"V435",443,0.188315524644697
"V436",444,0.187944362482877
"V437",445,0.18757497576659
"V438",446,0.187207353120015
"V439",447,0.186841483338446
"V440",448,0.186477355088991
"V441",449,0.186114956952922
"V442",450,0.185754277569327
"V443",451,0.185395305669262
"V444",452,0.185038030039861
"V445",453,0.18468243909999
"V446",454,0.184328520158946
"V447",455,0.183976261492923
"V448",456,0.183625652584036
"V449",457,0.18327668171498
"V450",458,0.182929339431105
"V451",459,0.182583618051079
"V452",460,0.182239504828554
"V453",461,0.18189698885456
"V454",462,0.181556059867961
"V455",463,0.181216707304795
"V456",464,0.180878919661087
"V457",465,0.180542686232266
"V458",466,0.180207997325716
"V459",467,0.179874843392612
"V460",468,0.179543214815335
"V461",469,0.179213101929023
"V462",470,0.178884495081307
"V463",471,0.178557384670462
