fulltimes,avg
1075,4.796651956
1076,4.793674461
1077,4.790701967
1078,4.787734414
1079,4.784771768
1080,4.781814017
1081,4.778861145
1082,4.775913141
1083,4.772969989
1084,4.770031672
1085,4.767098174
1086,4.764169477
1087,4.761245565
1088,4.758326425
1089,4.755412044
1090,4.752502409
1091,4.749597507
1092,4.746697325
1093,4.743801848
1094,4.740911062
1095,4.73802495
1096,4.735143494
1097,4.732266679
1098,4.72939449
1099,4.726526915
1100,4.723663942
1101,4.720805558
1102,4.717951751
1103,4.715102507
1104,4.71225781
1105,4.709417646
1106,4.706581998
1107,4.70375085
1108,4.700924189
1109,4.698102003
1110,4.69528428
1111,4.692471008
1112,4.689662175
1113,4.686857767
1114,4.684057771
1115,4.681262172
1116,4.678470948
1117,4.67568407
1118,4.672901577
1119,4.670123425
1120,4.667349602
1121,4.664580095
1122,4.661814894
1123,4.659053986
1124,4.656297357
1125,4.653544994
1126,4.65079688
1127,4.648052979
1128,4.645313328
1129,4.642577895
1130,4.639846661
1131,4.637119616
1132,4.634396749
1133,4.63167805
1134,4.628963504
1135,4.626253099
1136,4.62354682
1137,4.620844653
1138,4.618146586
1139,4.615452607
1140,4.612762706
1141,4.610076873
1142,4.607395097
1143,4.604717367
1144,4.602043671
1145,4.599373997
1146,4.59670833
1147,4.594046656
1148,4.591388964
1149,4.588735241
1150,4.586085479
1151,4.583439666
1152,4.580797793
1153,4.578159849
1154,4.575525823
1155,4.572895702
1156,4.570269473
1157,4.567647123
1158,4.56502864
1159,4.562414012
1160,4.559803231
1161,4.557196287
1162,4.554593169
1163,4.551993868
1164,4.549398373
1165,4.546806672
1166,4.544218752
1167,4.54163459
1168,4.539054161
1169,4.536477523
1170,4.533904622
1171,4.531335446
1172,4.528769986
1173,4.526208233
1174,4.523650176
1175,4.521095805
1176,4.518545108
1177,4.515998072
1178,4.513454687
1179,4.510914941
1180,4.508378827
1181,4.505846334
1182,4.503317455
1183,4.50079218
1184,4.4982705
1185,4.495752404
1186,4.49323788
1187,4.490726918
1188,4.488219505
1189,4.485715631
1190,4.483215287
1191,4.480718463
1192,4.478225153
1193,4.475735347
1194,4.473249036
1195,4.470766209
1196,4.468286856
1197,4.465810966
1198,4.463338528
1199,4.46086953
1200,4.458403965
1201,4.455941824
1202,4.453483099
1203,4.451027782
1204,4.448575864
1205,4.446127335
1206,4.443682185
1207,4.441240402
1208,4.438801967
1209,4.436366876
1210,4.433935141
1211,4.431506737
1212,4.429081655
1213,4.426659887
1214,4.424241424
1215,4.421826257
1216,4.419414376
1217,4.417005771
1218,4.414600431
1219,4.412198344
1220,4.409799511
1221,4.407403918
1222,4.405011558
1223,4.402622423
1224,4.400236504
1225,4.397853793
1226,4.395474281
1227,4.393097958
1228,4.390724814
1229,4.388354839
1230,4.385988025
1231,4.383624364
1232,4.38126385
1233,4.378906476
1234,4.376552232
1235,4.374201111
1236,4.371853103
1237,4.3695082
1238,4.367166391
1239,4.364827668
1240,4.362492022
1241,4.360159446
1242,4.357829933
1243,4.355503476
1244,4.353180068
1245,4.350859699
1246,4.348542362
1247,4.346228048
1248,4.343916747
1249,4.341608448
1250,4.339303148
1251,4.337000838
1252,4.33470151
1253,4.332405158
1254,4.330111775
1255,4.327821352
1256,4.325533882
1257,4.323249355
1258,4.320967762
1259,4.318689085
1260,4.316413334
1261,4.314140503
1262,4.311870576
1263,4.309603548
1264,4.30733941
1265,4.305078155
1266,4.302819776
1267,4.300564264
1268,4.298311611
1269,4.296061809
1270,4.293814849
1271,4.291570726
1272,4.289329433
1273,4.287090964
1274,4.284855312
1275,4.282622471
1276,4.280392432
1277,4.278165188
1278,4.275940731
1279,4.273719051
1280,4.271500143
1281,4.269283998
1282,4.267070612
1283,4.264859978
1284,4.262652089
1285,4.26044694
1286,4.258244522
1287,4.256044828
1288,4.25384785
1289,4.251653581
1290,4.249462012
1291,4.247273137
1292,4.245086951
1293,4.242903447
1294,4.240722621
1295,4.238544464
1296,4.23636897
1297,4.234196132
1298,4.232025943
1299,4.229858391
1300,4.227693457
1301,4.225531167
1302,4.223371506
1303,4.221214459
1304,4.219060021
1305,4.216908185
1306,4.214758945
1307,4.212612294
1308,4.210468225
1309,4.208326731
1310,4.206187797
1311,4.204051434
1312,4.201917627
1313,4.19978637
1314,4.197657658
1315,4.195531485
1316,4.193407845
1317,4.19128673
1318,4.189168136
1319,4.187052053
1320,4.184938476
1321,4.182827398
1322,4.180718813
1323,4.178612717
1324,4.176509103
1325,4.174407967
1326,4.172309301
1327,4.170213101
1328,4.168119359
1329,4.166028069
1330,4.163939223
1331,4.161852816
1332,4.159768842
1333,4.157687297
1334,4.155608173
1335,4.153531468
1336,4.151457173
1337,4.149385284
1338,4.147315794
1339,4.145248697
1340,4.143183985
1341,4.141121652
1342,4.139061696
1343,4.137004109
1344,4.134948888
1345,4.132896026
1346,4.130845517
1347,4.128797356
1348,4.126751537
1349,4.124708054
1350,4.122666898
1351,4.120628057
1352,4.118591548
1353,4.116557351
1354,4.114525463
1355,4.112495878
1356,4.11046859
1357,4.108443595
1358,4.106420885
1359,4.104400456
1360,4.102382301
1361,4.100366415
1362,4.098352792
1363,4.096341428
1364,4.094332319
1365,4.092325459
1366,4.090320843
1367,4.088318465
1368,4.086318321
1369,4.084320405
1370,4.08232471
1371,4.080331231
1372,4.078339963
1373,4.076350901
1374,4.074364042
1375,4.072379379
1376,4.070396908
1377,4.068416624
1378,4.066438522
1379,4.064462596
1380,4.06248884
1381,4.060517248
1382,4.058547817
1383,4.056580541
1384,4.054615416
1385,4.052652438
1386,4.050691602
1387,4.048732902
1388,4.046776334
1389,4.044821892
1390,4.042869571
1391,4.040919349
1392,4.038971258
1393,4.037025272
1394,4.035081388
1395,4.0331396
1396,4.031199905
1397,4.029262298
1398,4.027326773
1399,4.025393326
1400,4.023461952
1401,4.021532645
1402,4.0196054
1403,4.017680213
1404,4.015757081
1405,4.013835999
1406,4.011916963
1407,4.009999969
1408,4.00808501
1409,4.006172084
1410,4.004261184
1411,4.002352305
1412,4.000445443
1413,3.998540593
1414,3.996637751
1415,3.994736914
1416,3.992838077
1417,3.990941236
1418,3.989046386
1419,3.987153522
1420,3.98526264
1421,3.983373735
1422,3.981486801
1423,3.979601835
1424,3.977718833
1425,3.975837791
1426,3.973958705
1427,3.972081571
1428,3.970206384
1429,3.96833314
1430,3.966461834
1431,3.964592451
1432,3.96272501
1433,3.960859492
1434,3.958995895
1435,3.957134214
1436,3.955274446
1437,3.953416587
1438,3.951560633
1439,3.949706579
1440,3.947854421
1441,3.946004144
1442,3.944155766
1443,3.94230927
1444,3.940464652
1445,3.93862191
1446,3.936781039
1447,3.934942035
1448,3.933104895
1449,3.931269614
1450,3.929436189
1451,3.927604614
1452,3.925774884
1453,3.923946996
1454,3.922120948
1455,3.920296734
1456,3.918474352
1457,3.916653798
1458,3.914835068
1459,3.913018158
1460,3.911203063
1461,3.90938978
1462,3.907578303
1463,3.905768629
1464,3.903960755
1465,3.902154677
1466,3.900350391
1467,3.898547895
1468,3.896747185
1469,3.894948255
1470,3.893151104
1471,3.891355725
1472,3.889562114
1473,3.887770268
1474,3.885980184
1475,3.884191859
1476,3.882405288
1477,3.880620469
1478,3.878837398
1479,3.877056072
1480,3.875276485
1481,3.873498619
1482,3.871722504
1483,3.869948117
1484,3.868175453
1485,3.866404511
1486,3.864635287
1487,3.862867777
1488,3.861101979
1489,3.859337888
1490,3.857575502
1491,3.855814815
1492,3.854055823
1493,3.852298524
1494,3.850542913
1495,3.848788989
1496,3.847036749
1497,3.845286188
1498,3.843537303
1499,3.841790092
1500,3.840044551
1501,3.838300675
1502,3.83655846
1503,3.834817902
1504,3.833078999
1505,3.831341747
1506,3.829606145
1507,3.827872188
1508,3.826139874
1509,3.824409199
1510,3.822680161
1511,3.820952753
1512,3.819226973
1513,3.817502817
1514,3.815780281
1515,3.814059365
1516,3.812340064
1517,3.810622375
1518,3.808906296
1519,3.807191823
1520,3.805478953
1521,3.803767677
1522,3.802058001
1523,3.800349917
1524,3.798643422
1525,3.796938512
1526,3.795235185
1527,3.793533439
1528,3.79183327
1529,3.790134675
1530,3.788437651
1531,3.786742189
1532,3.785048296
1533,3.783355962
1534,3.781665186
1535,3.779975964
1536,3.778288293
1537,3.776602172
1538,3.774917597
1539,3.773234565
1540,3.771553073
1541,3.769873118
1542,3.768194694
1543,3.766517799
1544,3.764842431
1545,3.763168587
1546,3.761496265
1547,3.759825461
1548,3.758156174
1549,3.7564884
1550,3.754822136
1551,3.753157379
1552,3.751494124
1553,3.749832368
1554,3.748172109
1555,3.746513345
1556,3.744856073
1557,3.74320029
1558,3.741545993
1559,3.739893181
1560,3.738241851
1561,3.736591996
1562,3.734943616
1563,3.733296707
1564,3.731651265
1565,3.730007289
1566,3.728364777
1567,3.726723726
1568,3.725084133
1569,3.723445995
1570,3.72180931
1571,3.720174067
1572,3.718540279
1573,3.716907933
1574,3.715277026
1575,3.713647558
1576,3.712019524
1577,3.710392924
1578,3.708767753
1579,3.707144012
1580,3.705521695
1581,3.7039008
1582,3.702281322
1583,3.70066326
1584,3.69904661
1585,3.697431372
1586,3.695817542
1587,3.694205119
1588,3.692594099
1589,3.69098448
1590,3.689376261
1591,3.687769437
1592,3.686164004
1593,3.684559959
1594,3.682957302
1595,3.681356029
1596,3.679756138
1597,3.678157628
1598,3.676560495
1599,3.674964738
1600,3.673370353
1601,3.671777339
1602,3.670185689
1603,3.668595403
1604,3.667006477
1605,3.665418911
1606,3.663832702
1607,3.662247847
1608,3.660664345
1609,3.659082193
1610,3.657501389
1611,3.655921919
1612,3.654343802
1613,3.652767023
1614,3.65119158
1615,3.64961747
1616,3.648044692
1617,3.646473244
1618,3.644903124
1619,3.643334328
1620,3.641766856
1621,3.640200705
1622,3.638635868
1623,3.637072346
1624,3.635510135
1625,3.633949234
1626,3.632389642
1627,3.630831355
1628,3.629274373
1629,3.627718692
1630,3.626164311
1631,3.624611227
1632,3.623059434
1633,3.621508932
1634,3.619959719
1635,3.618411792
1636,3.616865149
1637,3.61531979
1638,3.613775711
1639,3.61223291
1640,3.610691387
1641,3.609151137
1642,3.607612156
1643,3.606074442
1644,3.604537994
1645,3.603002809
1646,3.601468887
1647,3.599936225
1648,3.59840482
1649,3.596874672
1650,3.595345779
1651,3.593818132
1652,3.592291737
1653,3.590766586
1654,3.589242679
1655,3.587720014
1656,3.586198588
1657,3.5846784
1658,3.583159448
1659,3.58164173
1660,3.580125244
1661,3.578609983
1662,3.577095953
1663,3.575583146
1664,3.574071561
1665,3.572561195
1666,3.571052048
1667,3.569544116
1668,3.5680374
1669,3.566531896
1670,3.565027603
1671,3.563524518
