"","Kin","Kout","Ktr","V1","k12N","V2","F"
"29724",0.0856425754659621,0.00723499328333201,0.00333719066399876,179191.447571477,83.9989228760505,179165.001493207,0.41398990450207
"20847",0.00382585415679566,0.409504482397028,0.00418099034735251,18261.2227510508,58.5544485539328,153724.277654248,0.198875068653477
"60265",0.0834468300764203,0.0093206392178025,0.0644643904057556,116264.201489478,56.2247941769788,15328.7588021902,0.166702324501334
"42229",0.00418761855906128,0.00822908454105589,0.0196835333012915,165533.421851132,92.6485029754474,15910.2080193613,0.151583754478636
"90159",0.0218819255190522,0.00819181944354138,0.0242927201202765,176863.682710742,160.787173923374,19845.7395884571,0.180446648210749
"5773",0.0022719721871463,1.57430836390378,0.104401646587506,48968.771831513,8.47375310839886,105170.987654915,0.177242220044984
"95001",0.00386429065103106,18.1274211179243,0.0134524286289525,250492.384575958,0.791173152067571,334793.483466232,0.365813254085849
"118103",0.000893622977796497,6.77643073438372,0.0562933945273378,85400.8299105602,0.726596414661785,308605.517046324,0.198975933929121
"73996",0.00279960547797577,2.51426570069732,0.00278027847834772,31279.1071593336,94.7933580085397,57973.8222245319,0.18471226827768
"68025",0.00116856909119596,0.0131839394498864,0.00766251649321637,80011.0409271499,109.10185432699,74822.7008832638,0.207755006184503
"37500",0.0104688000584106,6.4327180379995,0.00119997073398255,98426.8654291206,95.1876205952451,41184.6002813117,0.150563604864888
"113331",0.0306620687746306,0.0146102051366069,0.0187947882846359,51256.6392438079,106.712154652605,79981.3637462147,0.166435692878156
"53606",0.00543481231387982,3.9672738856537,0.00530798523857594,19783.1139254347,80.8365305041148,40544.9705162956,0.152331480533044
"61405",0.0834469415473248,0.0093204464698285,0.0644644569162822,116264.201489206,56.2247938352872,15328.7588023472,0.166702186583758
"93495",0.00119766857744375,4.756105388801,0.00224726742209474,26555.7072670521,74.1141985374283,72341.4948357897,0.228564942574437
"41921",0.0079614962855513,10.3545850289234,0.00564133185342479,6575.00171183888,69.9510602118506,73248.8756028425,0.192772451629759
"114892",0.0560586544497516,0.00703994007232316,0.00240001954505617,89538.3639349885,112.257364684945,107480.969955156,0.156766668000886
"5350",0.00227202797110152,1.57430840033742,0.104401754698639,48968.7718315313,8.47375320841385,105170.987654831,0.177242082509164
"70401",0.00337964686933851,7.55669465833152,0.00327697408282174,34027.7050195345,102.072275862489,100904.703029478,0.216581164065581
"73813",0.00279963611540301,2.51426576989933,0.00278018565006961,31279.1071593232,94.7933580103963,57973.82222456,0.184712268239589
"100684",0.00105354741754284,0.00871076631395785,0.0132922617510995,34528.9886124168,25.3279469988049,343093.367479646,0.302559210749427
"112271",0.0306623603192142,0.0146102329320725,0.0187949981463377,51256.6392433884,106.712154697612,79981.3637462723,0.166436058034056
"18255",0.0934596175790562,11.7985529676762,0.00229958912243642,277395.098447711,1.06222035803588,222596.907548473,0.620513450996317
"89880",0.115622972501347,16.6690574632674,0.00176485327457636,337839.740732187,0.894148150889444,254572.786729339,0.691672377057776
"21334",0.00382591047280927,0.409504351988556,0.00418101137681471,18261.2227511684,58.5544485390955,153724.277654088,0.198875112258506
"55409",0.0830051479624462,0.00997346423173935,0.00370901504657174,342828.962396491,0.964528161379426,11233.2211111926,0.594015440248012
"86473",0.000996590163532498,0.480719196693789,0.00536863336377407,113337.281048306,27.0281779457446,170325.322709924,0.244005227655526
"16210",0.016522540539594,0.0077027656052012,0.137649841557845,309230.804375028,133.379092790943,7002.89892153239,0.470009086756052
"102525",0.000769704400567888,0.00888266631924539,0.00310598664001898,85609.5220124645,112.445848361303,35721.996300433,0.179734621825155
"15716",0.00229539391330833,14.143312399786,0.00342584470147631,21068.6666525213,104.083354913668,98033.4738329758,0.21071250702287
"12567",0.0877835731503897,0.0128870568241842,0.134178456667114,331238.542143474,72.1759202381937,12343.4869690157,0.268173027225969
"74611",0.00958417546245588,0.00985255595601854,0.0106518461340688,84753.4349795938,127.102258730864,19277.5791262982,0.169721932981499
"79924",0.0161157009098414,0.0108054486694425,0.0135018669790036,104365.321674961,109.604110799386,30641.2193740254,0.161384941702377
"37415",0.0104687558191121,6.43271798272087,0.00120006321688539,98426.8654292244,95.1876204899854,41184.6002813246,0.150563671645837
