A1,B1,n
0.0002319,0.04851,0.8411
0.0002982,0.06525,0.8185
0.0002297,0.05423,0.8342
0.0001907,0.04061,0.849
0.0002117,0.02963,0.7915
0.0002244,0.048,0.838
0.0001769,0.03335,0.8256
0.0001651,0.03781,0.8527
0.000116,0.02667,0.8646
0.0002229,0.05895,0.85
0.0002755,0.06856,0.8507
0.0002113,0.04888,0.8487
0.0002198,0.04644,0.8288
0.0001255,0.02572,0.8536
0.0001466,0.03654,0.8709
0.000138,0.04889,0.9156
0.0001535,0.03267,0.8574
0.0001401,0.04583,0.8964
0.0001189,0.04174,0.9084
6.854e-05,0.02895,0.9671
0.0001457,0.0317,0.849
0.0002994,0.04593,0.7952
0.0001647,0.03422,0.8385
7.781e-05,0.04155,0.958
6.971e-05,0.03373,0.9582
0.0001702,0.03814,0.8602
0.0001877,0.02616,0.8109
0.0001645,0.02738,0.8259
0.0001557,0.03141,0.8456
0.0001211,0.03328,0.8866
0.0001489,0.04878,0.9007
0.0001615,0.041,0.8583
0.0001676,0.04033,0.8518
0.0001366,0.03156,0.862
0.0002464,0.03837,0.7871
0.0002229,0.0514,0.8282
8.638e-05,0.035,0.9409
0.0001573,0.03743,0.8624
0.0001174,0.02992,0.8951
0.0001177,0.03268,0.8889
0.0001981,0.04569,0.8572
0.0001491,0.03497,0.8554
0.0003594,0.06059,0.7894
0.0002538,0.04831,0.8169
0.0001348,0.04752,0.889
0.0002327,0.05404,0.8347
0.000105,0.03342,0.9011
9.986e-05,0.02628,0.8959
0.0001357,0.03113,0.8571
8.37e-05,0.0334,0.9412
0.000182,0.04183,0.8566
0.0001873,0.03766,0.8404
0.0001335,0.0483,0.9116
0.0001722,0.03362,0.8333
0.0002028,0.03773,0.8191
0.0001458,0.02792,0.8371
0.0001551,0.04721,0.8872
0.0001374,0.04123,0.8936
9.45e-05,0.03501,0.9199
0.0002864,0.04952,0.7989
0.0002434,0.03262,0.7834
0.0001524,0.03792,0.8671
0.0001165,0.03408,0.8952
0.0001608,0.03867,0.8616
0.0001638,0.02605,0.8322
0.0001848,0.03805,0.8495
0.0001379,0.02795,0.8687
0.0003205,0.0487,0.7863
0.0001335,0.05408,0.9155
0.0001677,0.05078,0.8815
0.0001869,0.04261,0.8525
0.0002113,0.06678,0.8705
0.0002826,0.04286,0.794
0.0002036,0.03479,0.8094
0.0001902,0.04602,0.8474
0.000266,0.03719,0.78
0.0002831,0.05982,0.8296
0.0001783,0.02796,0.8203
0.0001512,0.03352,0.8525
0.0001819,0.04718,0.8605
0.0001635,0.03242,0.8444
0.0001682,0.03966,0.8613
0.0001507,0.02652,0.8526
0.0001386,0.02764,0.8603
0.0001444,0.03355,0.8593
6.455e-05,0.02366,0.9545
0.0001652,0.05267,0.8896
0.0002124,0.04759,0.8396
9.531e-05,0.02612,0.9002
0.0001932,0.05405,0.862
0.0001626,0.03835,0.8558
0.0002153,0.04096,0.8246
0.0001222,0.03287,0.8978
0.0001445,0.04064,0.8743
8.54e-05,0.02234,0.9138
0.000102,0.03465,0.9205
0.0001262,0.03697,0.8892
0.0002165,0.04057,0.8268
0.0001143,0.04135,0.9126
0.0002018,0.0392,0.8276
0.0001527,0.04267,0.8849
0.0002514,0.05803,0.8421
0.0001551,0.03285,0.8445
0.0001132,0.03262,0.8923
0.0002662,0.04645,0.8026
0.0001952,0.03199,0.8256
0.000133,0.02693,0.8564
0.000132,0.04706,0.9061
0.0001153,0.03269,0.8931
0.0001302,0.02787,0.8557
0.00021,0.04138,0.8447
0.0002209,0.04202,0.8092
0.0001327,0.03893,0.8867
0.0002043,0.04679,0.8488
6.996e-05,0.02832,0.9505
0.0002003,0.03237,0.8164
0.0001417,0.03238,0.8633
0.0001207,0.04016,0.898
0.0001822,0.03446,0.8205
0.0001905,0.04981,0.861
0.0001325,0.032,0.8632
0.0001096,0.03084,0.8978
0.0001622,0.05014,0.8879
0.0002207,0.04183,0.814
0.0001348,0.03578,0.8833
0.0002853,0.0331,0.7594
0.0001097,0.03425,0.9004
9.546e-05,0.02175,0.9001
0.0001777,0.04007,0.8615
9.35e-05,0.03306,0.9251
0.0002453,0.04467,0.8225
0.0001662,0.04014,0.8675
0.0001534,0.03683,0.8472
0.0001785,0.03009,0.8136
8.486e-05,0.03604,0.9463
0.0002168,0.0321,0.8017
0.0001183,0.03428,0.8939
0.0001615,0.04039,0.8561
0.0001361,0.04356,0.8913
0.0001312,0.05365,0.9108
0.0003192,0.05189,0.7883
0.0001111,0.03488,0.897
0.0001403,0.03912,0.8881
0.0003329,0.05553,0.7933
0.0001366,0.02798,0.8584
0.0001812,0.03766,0.8366
0.0001324,0.04049,0.8925
0.0001447,0.02636,0.8424
0.0002231,0.03905,0.8049
0.0001596,0.03289,0.8547
0.0001067,0.0332,0.8974
0.000258,0.047,0.8116
0.0001347,0.02653,0.8612
0.0002397,0.0537,0.8429
8.791e-05,0.02575,0.9084
0.0002339,0.04717,0.8403
0.0002351,0.04964,0.8234
0.0002088,0.03605,0.8193
0.0001415,0.02497,0.8518
0.0002289,0.06091,0.858
0.0001889,0.04882,0.8695
0.0001471,0.04644,0.8887
0.0001531,0.03189,0.8517
0.0002377,0.04812,0.8209
0.0003924,0.05902,0.7813
0.0001795,0.03179,0.8349
0.000314,0.06885,0.8237
0.0001612,0.04228,0.8659
0.0001308,0.03499,0.8787
0.000101,0.04041,0.9302
0.000195,0.04002,0.8273
0.0002613,0.07417,0.8621
6.77e-05,0.03899,0.9739
0.0001269,0.04277,0.8903
0.0001931,0.03777,0.8299
0.0001933,0.05011,0.8699
0.0001291,0.03761,0.8933
0.0001837,0.03948,0.8443
9.677e-05,0.04022,0.9427
0.0001161,0.03333,0.8953
0.0002353,0.0343,0.7948
0.0002716,0.06526,0.8428
0.0001103,0.03233,0.904
0.0001581,0.03096,0.8457
0.0001566,0.03853,0.8664
0.0002353,0.04671,0.8283
6.901e-05,0.04702,1.002
0.0001811,0.02775,0.8271
0.000179,0.03445,0.8335
0.0002178,0.05296,0.8445
0.0002204,0.0416,0.813
0.0001338,0.03542,0.8898
0.0001245,0.03584,0.8743
0.0001269,0.03316,0.8891
0.0001268,0.03302,0.8798
8.62e-05,0.02819,0.9221
0.0001696,0.04962,0.8711
0.0001993,0.03799,0.8334
0.0001581,0.04542,0.884
0.0002611,0.05054,0.8161
0.0001959,0.02269,0.782
0.0001576,0.02764,0.8328
0.0001415,0.03437,0.8695
0.0001134,0.03428,0.8828
0.0002373,0.03867,0.8041
0.0001247,0.04151,0.9031
0.0002027,0.03672,0.8331
0.0003332,0.04501,0.7723
0.0002148,0.03474,0.8015
0.0001311,0.03873,0.9146
0.000197,0.0313,0.8228
0.0001284,0.0485,0.9334
0.0001281,0.03281,0.8696
0.000211,0.0498,0.847
0.000169,0.05294,0.8865
0.0001002,0.04205,0.9339
0.0001751,0.03457,0.8399
8.928e-05,0.04018,0.9553
0.000146,0.02816,0.8344
0.0003612,0.05918,0.7717
0.0002317,0.04998,0.8268
0.0002112,0.066,0.8701
0.0001765,0.05156,0.8702
0.0002155,0.03936,0.8164
0.0002097,0.04485,0.8538
0.0001561,0.03197,0.8341
0.0001233,0.0338,0.8875
0.0001502,0.03704,0.8734
8.919e-05,0.02649,0.9031
0.0001786,0.04065,0.847
0.0001178,0.03195,0.8859
0.0001831,0.02725,0.8243
0.0001399,0.0274,0.8539
0.0003157,0.05072,0.7873
0.0001137,0.03861,0.9045
0.0003284,0.02907,0.7409
9.284e-05,0.04257,0.9406
0.0001653,0.03051,0.8511
0.000224,0.03901,0.8122
0.000116,0.0348,0.8965
7.685e-05,0.03872,0.9589
0.0002759,0.04907,0.8106
0.0003257,0.05994,0.7988
0.0001788,0.0291,0.8286
0.0001827,0.04286,0.849
0.0001945,0.02615,0.7932
0.0002532,0.03697,0.791
0.0001687,0.03769,0.8626
0.0001551,0.03457,0.8537
0.0001341,0.04983,0.9064
0.0002726,0.04641,0.8025
0.0001251,0.03242,0.8902
9.378e-05,0.03228,0.9176
0.000204,0.04228,0.844
0.0001878,0.0484,0.8594
0.0001217,0.02634,0.8657
0.0001058,0.03175,0.8945
0.0001515,0.05409,0.9045
0.0001647,0.03743,0.8659
0.0001589,0.03382,0.8601
0.0001365,0.03162,0.8587
0.0002019,0.05158,0.8368
0.000231,0.06037,0.8592
0.0001167,0.04051,0.9102
0.0001298,0.03274,0.883
0.000176,0.04818,0.8616
0.0001452,0.02676,0.8461
0.0001502,0.0379,0.873
0.0002096,0.02656,0.8077
0.000126,0.03432,0.8898
0.0001647,0.05251,0.8983
0.0001618,0.03726,0.8555
0.0001635,0.03782,0.8608
0.0001174,0.04151,0.9057
7.002e-05,0.03464,0.9773
0.0002078,0.04424,0.8486
0.0002528,0.04767,0.8327
0.0001175,0.03419,0.9006
0.0002074,0.04125,0.8162
0.0001739,0.04816,0.8679
0.0002404,0.03854,0.8116
0.0001895,0.03588,0.8403
0.0001117,0.02763,0.8658
0.0002026,0.0499,0.8358
5.765e-05,0.02374,0.9719
0.0001342,0.0337,0.8789
0.0002135,0.04969,0.8337
0.0001746,0.04525,0.8681
0.0001054,0.02695,0.8862
0.0001335,0.03312,0.8791
0.0001478,0.03755,0.8626
0.0001712,0.03949,0.8554
0.0001215,0.03648,0.8984
0.0002247,0.05705,0.8519
0.000101,0.03265,0.9195
0.0001328,0.03998,0.8924
0.0002622,0.0451,0.8083
0.0001897,0.03503,0.8317
0.0001383,0.0396,0.8849
0.0001309,0.02761,0.8691
0.0001811,0.03226,0.8271
0.0001415,0.03298,0.8499
0.0002275,0.06211,0.8538
0.0002426,0.03978,0.8038
0.0002522,0.05365,0.8131
0.0001204,0.03212,0.8818
0.0003324,0.05655,0.7937
0.000188,0.03936,0.8407
0.0002337,0.03002,0.7927
0.0002046,0.03754,0.8291
0.0001774,0.0515,0.8753
0.0003038,0.04489,0.794
0.0001713,0.04725,0.8734
0.0003059,0.03343,0.7578
0.0001973,0.04131,0.8336
0.0002475,0.03685,0.7971
8.939e-05,0.02662,0.9078
0.0001695,0.03999,0.864
0.0001398,0.0312,0.8555
0.000112,0.03062,0.8896
0.0001413,0.03592,0.8657
0.0002605,0.04651,0.8023
8.647e-05,0.02709,0.9237
0.000255,0.04681,0.8219
0.0002083,0.03163,0.8072
0.0002844,0.04014,0.7853
0.000172,0.04083,0.8667
0.0001646,0.03945,0.8705
0.0003009,0.07965,0.8502
8.698e-05,0.02799,0.9326
0.000196,0.03232,0.8213
0.0001818,0.03976,0.84
0.0001218,0.07013,0.9583
0.0001503,0.0416,0.878
0.0001598,0.03467,0.8601
0.0001428,0.03192,0.8512
0.0002529,0.05074,0.8124
0.0003061,0.05265,0.7889
0.0001776,0.0417,0.8458
0.0002972,0.0497,0.7959
0.0001434,0.0396,0.8815
0.0002641,0.02938,0.7657
0.0002042,0.03747,0.8265
0.0001645,0.03939,0.8684
0.0002156,0.07507,0.8867
0.0001006,0.05355,0.9462
