Kon,Koff,n
6.899e-06,0.001967,0.7214
8.661e-06,0.002427,0.704
6.313e-06,0.001889,0.7046
3.461e-05,0.002321,0.5
8.25e-06,0.001923,0.6924
1.233e-05,0.002337,0.6533
8.446e-06,0.002092,0.6994
4.588e-06,0.002261,0.793
1.485e-05,0.001989,0.6285
8.667e-06,0.002076,0.6966
7.722e-06,0.00205,0.7192
4.866e-06,0.002021,0.7741
1.419e-05,0.001703,0.5947
1.479e-05,0.002215,0.6191
1.138e-05,0.002328,0.6686
1.186e-05,0.002022,0.6469
9.276e-06,0.002069,0.6946
7.15e-06,0.002153,0.7218
9.207e-06,0.001835,0.6784
2.064e-06,0.00176,0.8828
2.139e-05,0.001864,0.558
1.159e-05,0.001877,0.6398
3.18e-06,0.002034,0.8369
7.101e-06,0.001649,0.685
5.638e-06,0.00215,0.7629
1.839e-05,0.001834,0.5689
4.393e-06,0.002335,0.8024
1.304e-05,0.001978,0.6321
1.391e-05,0.002112,0.6302
4.72e-06,0.002058,0.7737
1.182e-05,0.002147,0.6654
3.431e-06,0.002036,0.8225
6.492e-06,0.002085,0.7347
6.549e-06,0.001844,0.7367
1.322e-05,0.001918,0.6156
4.521e-06,0.002299,0.8019
4.713e-06,0.001991,0.7728
1.095e-05,0.001877,0.6597
1.473e-05,0.00211,0.6177
4.493e-06,0.002063,0.7851
4.885e-06,0.001886,0.7706
1.339e-05,0.001925,0.6302
2.748e-06,0.002095,0.8584
3.816e-06,0.001955,0.8044
7.514e-06,0.002069,0.719
2.196e-06,0.001965,0.8875
2.467e-06,0.001885,0.8431
3.44e-06,0.002017,0.8283
9.019e-06,0.002395,0.7063
6.619e-06,0.001919,0.7204
2.924e-06,0.002582,0.8659
6.548e-06,0.002232,0.7486
1.326e-05,0.001771,0.6187
4.381e-06,0.001976,0.7904
5.035e-06,0.0018,0.7576
7.586e-06,0.002075,0.7133
6.376e-06,0.002015,0.7384
4.496e-06,0.001872,0.7772
1.554e-05,0.002388,0.6305
1.823e-06,0.002189,0.9266
1.915e-06,0.002158,0.9126
6.177e-06,0.002069,0.7412
2.608e-06,0.001847,0.8472
1.003e-05,0.002225,0.6649
9.499e-06,0.001928,0.6733
1.856e-05,0.002201,0.589
2.255e-05,0.002241,0.5676
4.476e-06,0.00262,0.8022
1.047e-05,0.002077,0.6685
4.848e-06,0.002392,0.7935
7.954e-06,0.002287,0.7044
4.013e-06,0.002142,0.8112
9.792e-06,0.001811,0.6629
1.009e-05,0.002017,0.6576
