"","","patientventiN","patientventi","patientventi","patientventi","patientventi"
"35",0.566666666666667,0.850783446831712,0.850783446831712,0.850783446831712,0.850783446831712,0.850783446831712
"36",0.583333333333333,0.83835988028992,0.83835988028992,0.83835988028992,0.83835988028992,0.83835988028992
"37",0.6,0.825519751286365,0.825519751286365,0.825519751286365,0.825519751286365,0.825519751286365
"38",0.616666666666667,0.812277697732362,0.812277697732362,0.812277697732362,0.812277697732362,0.812277697732362
"39",0.633333333333333,0.798654087466041,0.798654087466041,0.798654087466041,0.798654087466041,0.798654087466041
"40",0.65,0.784667719608635,0.784667719608635,0.784667719608635,0.784667719608635,0.784667719608635
"41",0.666666666666667,0.77033769192041,0.77033769192041,0.77033769192041,0.77033769192041,0.77033769192041
"42",0.683333333333333,0.755684170676223,0.755684170676223,0.755684170676223,0.755684170676223,0.755684170676223
"43",0.7,0.740729097798012,0.740729097798012,0.740729097798012,0.740729097798012,0.740729097798012
"44",0.716666666666667,0.725499335887095,0.725499335887095,0.725499335887095,0.725499335887095,0.725499335887095
"45",0.733333333333333,0.71002245373951,0.71002245373951,0.71002245373951,0.71002245373951,0.71002245373951
"46",0.75,0.694327507327903,0.694327507327903,0.694327507327903,0.694327507327903,0.694327507327903
"47",0.766666666666667,0.678445068250923,0.678445068250923,0.678445068250923,0.678445068250923,0.678445068250923
"48",0.783333333333333,0.662439054720657,0.662439054720657,0.662439054720657,0.662439054720657,0.662439054720657
"49",0.8,0.646267303953072,0.646267303953072,0.646267303953072,0.646267303953072,0.646267303953072
"50",0.816666666666667,0.630029943173206,0.630029943173206,0.630029943173206,0.630029943173206,0.630029943173206
"51",0.833333333333333,0.613760894095642,0.613760894095642,0.613760894095642,0.613760894095642,0.613760894095642
"52",0.85,0.597495201048687,0.597495201048687,0.597495201048687,0.597495201048687,0.597495201048687
"53",0.866666666666667,0.581269628399284,0.581269628399284,0.581269628399284,0.581269628399284,0.581269628399284
"54",0.883333333333333,0.565126601574658,0.565126601574658,0.565126601574658,0.565126601574658,0.565126601574658
"55",0.9,0.549106120054794,0.549106120054794,0.549106120054794,0.549106120054794,0.549106120054794
"56",0.916666666666667,0.53324732076931,0.53324732076931,0.53324732076931,0.53324732076931,0.53324732076931
"57",0.933333333333333,0.517588614033882,0.517588614033882,0.517588614033882,0.517588614033882,0.517588614033882
"58",0.95,0.502166361493977,0.502166361493977,0.502166361493977,0.502166361493977,0.502166361493977
"59",0.966666666666667,0.487010661497962,0.487010661497962,0.487010661497962,0.487010661497962,0.487010661497962
"60",0.983333333333333,0.472151858623694,0.472151858623694,0.472151858623694,0.472151858623694,0.472151858623694
"61",1,0.457618400572714,0.457618400572714,0.457618400572714,0.457618400572714,0.457618400572714
"62",1.01666666666667,0.443436070392785,0.443436070392785,0.443436070392785,0.443436070392785,0.443436070392785
"63",1.03333333333333,0.429627079185523,0.429627079185523,0.429627079185523,0.429627079185523,0.429627079185523
"64",1.05,0.416206891520493,0.416206891520493,0.416206891520493,0.416206891520493,0.416206891520493
"65",1.06666666666667,0.403189761247562,0.403189761247562,0.403189761247562,0.403189761247562,0.403189761247562
"66",1.08333333333333,0.39058716935791,0.39058716935791,0.39058716935791,0.39058716935791,0.39058716935791
"67",1.1,0.378407414530845,0.378407414530845,0.378407414530845,0.378407414530845,0.378407414530845
"68",1.11666666666667,0.366656088011415,0.366656088011415,0.366656088011415,0.366656088011415,0.366656088011415
"69",1.13333333333333,0.355337895572257,0.355337895572257,0.355337895572257,0.355337895572257,0.355337895572257
"70",1.15,0.34445350722217,0.34445350722217,0.34445350722217,0.34445350722217,0.34445350722217
"71",1.16666666666667,0.334000596397272,0.334000596397272,0.334000596397272,0.334000596397272,0.334000596397272
"72",1.18333333333333,0.323974235760405,0.323974235760405,0.323974235760405,0.323974235760405,0.323974235760405
"73",1.2,0.31436812894398,0.31436812894398,0.31436812894398,0.31436812894398,0.31436812894398
"74",1.21666666666667,0.305179207008648,0.305179207008648,0.305179207008648,0.305179207008648,0.305179207008648
"75",1.23333333333333,0.296399310768504,0.296399310768504,0.296399310768504,0.296399310768504,0.296399310768504
"76",1.25,0.288017737082978,0.288017737082978,0.288017737082978,0.288017737082978,0.288017737082978
"77",1.26666666666667,0.280022042347906,0.280022042347906,0.280022042347906,0.280022042347906,0.280022042347906
"78",1.28333333333333,0.272399581943236,0.272399581943236,0.272399581943236,0.272399581943236,0.272399581943236
"79",1.3,0.265143346692839,0.265143346692839,0.265143346692839,0.265143346692839,0.265143346692839
"80",1.31666666666667,0.258241095828229,0.258241095828229,0.258241095828229,0.258241095828229,0.258241095828229
"81",1.33333333333333,0.251678607090075,0.251678607090075,0.251678607090075,0.251678607090075,0.251678607090075
"82",1.35,0.245440633585209,0.245440633585209,0.245440633585209,0.245440633585209,0.245440633585209
"83",1.36666666666667,0.239512514960345,0.239512514960345,0.239512514960345,0.239512514960345,0.239512514960345
"84",1.38333333333333,0.233886413510049,0.233886413510049,0.233886413510049,0.233886413510049,0.233886413510049
"85",1.4,0.228549458098694,0.228549458098694,0.228549458098694,0.228549458098694,0.228549458098694
"86",1.41666666666667,0.223487239067873,0.223487239067873,0.223487239067873,0.223487239067873,0.223487239067873
"87",1.43333333333333,0.218684794108489,0.218684794108489,0.218684794108489,0.218684794108489,0.218684794108489
"88",1.45,0.213913143656215,0.213913143656215,0.213913143656215,0.213913143656215,0.213913143656215
"89",1.46666666666667,0.209709618653847,0.209709618653847,0.209709618653847,0.209709618653847,0.209709618653847
"90",1.48333333333333,0.205683047185443,0.205683047185443,0.205683047185443,0.205683047185443,0.205683047185443
"91",1.5,0.201834896671029,0.201834896671029,0.201834896671029,0.201834896671029,0.201834896671029
"92",1.51666666666667,0.198166514487339,0.198166514487339,0.198166514487339,0.198166514487339,0.198166514487339
"93",1.53333333333333,0.194676502479293,0.194676502479293,0.194676502479293,0.194676502479293,0.194676502479293
"94",1.55,0.191352686957763,0.191352686957763,0.191352686957763,0.191352686957763,0.191352686957763
"95",1.56666666666667,0.188194179760949,0.188194179760949,0.188194179760949,0.188194179760949,0.188194179760949
"96",1.58333333333333,0.185201843519648,0.185201843519648,0.185201843519648,0.185201843519648,0.185201843519648
"97",1.6,0.182376461389685,0.182376461389685,0.182376461389685,0.182376461389685,0.182376461389685
"98",1.61666666666667,0.179712003835343,0.179712003835343,0.179712003835343,0.179712003835343,0.179712003835343
"99",1.63333333333333,0.177175084646648,0.177175084646648,0.177175084646648,0.177175084646648,0.177175084646648
"100",1.65,0.174761452879915,0.174761452879915,0.174761452879915,0.174761452879915,0.174761452879915
"101",1.66666666666667,0.172471520286516,0.172471520286516,0.172471520286516,0.172471520286516,0.172471520286516
"102",1.68333333333333,0.17030566166472,0.17030566166472,0.17030566166472,0.17030566166472,0.17030566166472
"103",1.7,0.168258917964565,0.168258917964565,0.168258917964565,0.168258917964565,0.168258917964565
"104",1.71666666666667,0.166304852081953,0.166304852081953,0.166304852081953,0.166304852081953,0.166304852081953
"105",1.73333333333333,0.1644399786755,0.1644399786755,0.1644399786755,0.1644399786755,0.1644399786755
"106",1.75,0.162664494022982,0.162664494022982,0.162664494022982,0.162664494022982,0.162664494022982
"107",1.76666666666667,0.160978577765126,0.160978577765126,0.160978577765126,0.160978577765126,0.160978577765126
"108",1.78333333333333,0.159378751363662,0.159378751363662,0.159378751363662,0.159378751363662,0.159378751363662
"109",1.8,0.157846786443435,0.157846786443435,0.157846786443435,0.157846786443435,0.157846786443435
"110",1.81666666666667,0.156380245544118,0.156380245544118,0.156380245544118,0.156380245544118,0.156380245544118
"111",1.83333333333333,0.154979226343932,0.154979226343932,0.154979226343932,0.154979226343932,0.154979226343932
"112",1.85,0.153643818728212,0.153643818728212,0.153643818728212,0.153643818728212,0.153643818728212
"113",1.86666666666667,0.152371501812336,0.152371501812336,0.152371501812336,0.152371501812336,0.152371501812336
"114",1.88333333333333,0.151149218937654,0.151149218937654,0.151149218937654,0.151149218937654,0.151149218937654
"115",1.9,0.149975206348738,0.149975206348738,0.149975206348738,0.149975206348738,0.149975206348738
"116",1.91666666666667,0.148849514424222,0.148849514424222,0.148849514424222,0.148849514424222,0.148849514424222
"117",1.93333333333333,0.147772189786322,0.147772189786322,0.147772189786322,0.147772189786322,0.147772189786322
"118",1.95,0.146741387639013,0.146741387639013,0.146741387639013,0.146741387639013,0.146741387639013
"119",1.96666666666667,0.145747626167586,0.145747626167586,0.145747626167586,0.145747626167586,0.145747626167586
"120",1.98333333333333,0.144789615725289,0.144789615725289,0.144789615725289,0.144789615725289,0.144789615725289
