Kon,Koff,n
4.43e-05,0.004512,0.7916
3.61e-05,0.004353,0.8161
5.268e-05,0.004635,0.7519
2.706e-05,0.0041,0.8697
3.321e-05,0.004578,0.852
4.532e-05,0.004162,0.7672
5.377e-05,0.004606,0.7376
2.871e-05,0.004508,0.8329
3.124e-05,0.004223,0.8599
4.107e-05,0.004735,0.8078
2.467e-05,0.004231,0.874
6.736e-05,0.004659,0.7024
2.411e-05,0.004122,0.8702
4.259e-05,0.004421,0.7897
3.069e-05,0.004156,0.8371
2.045e-05,0.004479,0.9143
2.611e-05,0.004638,0.8745
3.162e-05,0.003851,0.8356
1.506e-05,0.003969,0.9645
5.747e-05,0.003969,0.7221
3.837e-05,0.00469,0.8094
3.221e-05,0.004233,0.8476
8.297e-06,0.004361,1.079
4.671e-05,0.004485,0.7643
4.4e-05,0.004274,0.7833
0.0001115,0.004949,0.6525
2.496e-05,0.004333,0.8815
2.783e-05,0.004341,0.839
4.887e-05,0.004268,0.7643
5.202e-05,0.00502,0.7528
8.033e-05,0.004132,0.6603
2.696e-05,0.004304,0.8598
3.968e-05,0.00435,0.8097
1.041e-05,0.003756,1.013
8.181e-06,0.003863,1.056
6.753e-05,0.004337,0.7153
1.658e-05,0.004185,0.9473
5.042e-05,0.00486,0.752
3.369e-05,0.004055,0.8058
7.702e-05,0.004235,0.671
3.485e-05,0.004538,0.8208
3.516e-05,0.004599,0.8135
5.751e-05,0.004135,0.7369
3.284e-05,0.004194,0.8339
3.132e-05,0.004273,0.8362
1.947e-05,0.003946,0.9182
2.474e-05,0.004097,0.8894
3.24e-05,0.004175,0.8399
1.531e-05,0.003806,0.9516
3.345e-05,0.004465,0.8241
1.25e-05,0.003829,0.9949
2.458e-05,0.004421,0.875
2.556e-05,0.004133,0.8776
7.103e-05,0.004695,0.694
3.185e-05,0.004244,0.8342
2.763e-05,0.003872,0.8618
7.093e-05,0.004512,0.6971
8.606e-06,0.003751,1.04
7.455e-05,0.004706,0.6999
0.0001089,0.00406,0.6223
5.015e-05,0.004301,0.7782
5.432e-05,0.004132,0.746
2.941e-05,0.004337,0.839
6.087e-05,0.004364,0.725
3.986e-05,0.004356,0.8127
7.819e-05,0.004593,0.698
1.483e-05,0.004308,0.9634
5.139e-05,0.004326,0.7666
1.504e-05,0.003904,0.9524
3.179e-05,0.004568,0.8276
5.706e-05,0.004328,0.7518
3.148e-05,0.005162,0.8461
4.89e-05,0.00479,0.7495
4.383e-05,0.004435,0.7941
1.817e-05,0.004516,0.9312
3.243e-05,0.004423,0.8157
1.278e-05,0.004115,1.012
2.153e-05,0.003829,0.8879
2.507e-05,0.00412,0.868
4.208e-05,0.004366,0.7856
5.333e-05,0.004039,0.7291
5.335e-05,0.004539,0.7577
6.651e-05,0.004718,0.6942
2.173e-05,0.004646,0.9032
4.644e-05,0.004782,0.7748
8.105e-05,0.004384,0.661
2.798e-05,0.004193,0.8553
4.094e-05,0.00471,0.7865
5.921e-05,0.004328,0.7292
7.507e-06,0.003646,1.075
2e-05,0.004405,0.9285
6.153e-05,0.004387,0.7134
6.996e-05,0.0047,0.7249
2.306e-05,0.003876,0.8986
8.729e-05,0.004337,0.661
2.764e-05,0.005134,0.8574
2.749e-05,0.004945,0.8692
2.19e-05,0.00442,0.8906
2.764e-05,0.004217,0.8614
6.691e-05,0.004251,0.6972
2.664e-05,0.004024,0.8639
4.513e-05,0.004242,0.7721
2.006e-05,0.00428,0.9267
1.743e-05,0.004524,0.9479
2.705e-05,0.004491,0.8593
6.863e-05,0.004102,0.6751
1.635e-05,0.004106,0.9457
3.937e-05,0.004666,0.804
4.452e-05,0.003989,0.7819
5.485e-05,0.004164,0.7324
3.499e-05,0.004168,0.8112
3.177e-05,0.004423,0.8336
2.13e-05,0.00449,0.9055
5.317e-06,0.004056,1.133
3.844e-05,0.004437,0.8156
4.112e-05,0.004128,0.7958
2.359e-05,0.004251,0.9052
9.352e-05,0.004913,0.6475
1.573e-05,0.004193,0.9575
6.72e-05,0.004174,0.6948
1.633e-05,0.004447,0.9368
4.814e-05,0.004595,0.7471
2.511e-05,0.004302,0.8783
1.622e-05,0.004256,0.9587
3.15e-05,0.004205,0.8459
4.072e-05,0.004438,0.8173
5.767e-05,0.004982,0.7441
2.265e-05,0.005083,0.9108
2.869e-05,0.004194,0.8747
1.823e-05,0.00386,0.9359
2.789e-05,0.004713,0.8222
7.253e-05,0.004384,0.6956
3.372e-05,0.004648,0.8422
2.564e-05,0.003714,0.8885
0.0001091,0.005087,0.6176
4.997e-05,0.005192,0.769
3.41e-05,0.004429,0.8414
2.726e-05,0.004448,0.868
4.516e-05,0.004306,0.7906
7.93e-05,0.004817,0.6699
1.518e-05,0.003875,0.9676
2.599e-05,0.004424,0.8814
6.201e-05,0.004546,0.7499
1.654e-05,0.004437,0.9488
2.135e-05,0.00402,0.8784
2.177e-05,0.004279,0.9172
2.383e-05,0.004209,0.8728
5.504e-05,0.004901,0.7376
5.055e-05,0.004732,0.7385
3.087e-05,0.004349,0.8604
4.514e-05,0.00468,0.7769
1.076e-05,0.004403,0.9983
1.556e-05,0.004522,0.9688
3.016e-05,0.004409,0.8185
1.856e-05,0.004836,0.9158
2.612e-05,0.004663,0.8483
6.594e-06,0.004091,1.095
3.476e-05,0.004508,0.8042
1.049e-05,0.003761,1.028
6.897e-05,0.004985,0.7334
3.003e-05,0.004064,0.8368
1.795e-05,0.003785,0.9366
4.06e-05,0.004096,0.793
4.066e-05,0.004378,0.7987
3.383e-05,0.004145,0.8179
0.0001148,0.005218,0.6305
6.434e-05,0.004697,0.7184
3.179e-05,0.004194,0.8108
2.504e-05,0.004112,0.8659
1.704e-05,0.004314,0.968
2.993e-05,0.004056,0.8609
1.212e-05,0.004069,0.9935
4.238e-05,0.004322,0.7943
2.538e-05,0.004144,0.8733
2.307e-05,0.004251,0.9002
2.223e-05,0.00406,0.8917
1.816e-05,0.00448,0.9434
