Kon (pM^-n)*s^-1,Koff (s^-1),n
7.38e-06,0.0002502,1.072
1.074e-05,0.0002454,1.015
9.34e-06,0.0002556,1.035
9.842e-06,0.0002565,1.031
7.488e-06,0.0002182,1.07
6.465e-06,0.0002499,1.107
5.726e-06,0.0002569,1.125
1.011e-05,0.0002502,1.016
1.354e-05,0.0002712,0.978
9.872e-06,0.0002738,1.026
1.294e-05,0.0002554,0.9877
7.956e-06,0.0002379,1.06
1.088e-05,0.0002468,1.006
1.248e-05,0.0002446,0.9815
9.642e-06,0.0002475,1.02
7.073e-06,0.0002363,1.087
1.229e-05,0.0002593,0.9931
1.026e-05,0.0002512,1.014
1.006e-05,0.0002548,1.024
1.148e-05,0.0002589,0.99
9.422e-06,0.0002418,1.037
8.481e-06,0.0002561,1.052
1.147e-05,0.0002462,1.006
9.219e-06,0.0002388,1.037
8.837e-06,0.0002445,1.047
1.18e-05,0.0002569,0.9907
1.037e-05,0.0002562,1.019
1.083e-05,0.0002697,1.008
8.688e-06,0.0002297,1.045
9.75e-06,0.000259,1.02
9.661e-06,0.000266,1.031
1.124e-05,0.0002405,0.9915
1.112e-05,0.0002672,1.007
8.407e-06,0.0002394,1.054
1.128e-05,0.0002344,1.005
1.246e-05,0.0002521,0.9904
1.369e-05,0.0002408,0.9689
9.914e-06,0.0002613,1.027
9.111e-06,0.0002207,1.037
1.03e-05,0.0002535,1.022
1.353e-05,0.0002668,0.9698
1.142e-05,0.0002514,0.993
9.901e-06,0.0002516,1.038
1.146e-05,0.0002377,0.9916
1.147e-05,0.0002432,0.9972
1.275e-05,0.0002601,0.9924
8.959e-06,0.0002245,1.041
5.184e-06,0.0002229,1.141
1.244e-05,0.000251,0.9871
1.095e-05,0.00024,1.016
1.131e-05,0.0002423,1.005
9.423e-06,0.0002459,1.029
8.197e-06,0.000246,1.061
8.885e-06,0.000271,1.043
1.057e-05,0.0002274,1.014
7.826e-06,0.0002327,1.067
1.155e-05,0.0002451,0.9985
8.92e-06,0.0002661,1.053
1.106e-05,0.0002438,1.015
1.54e-05,0.0002562,0.9452
1.157e-05,0.000258,0.9995
9.228e-06,0.0002348,1.04
7.783e-06,0.0002229,1.061
