ikoutC,ik12C,ik21C,ik13C,ik31C,iV2C
0.01234703,0.010698493,0.000933713,0.002504482,0.000186719,6.12235748
0.009350565,0.00989891,0.000933713,0.002317302,0.000186719,6.616889965
0.005442282,0.006389503,0.000933713,0.001495762,0.000186719,10.2511886
0.002058892,0.001963995,0.000933713,0.000459765,0.000186719,33.35038197
0.000167605,0.000172375,0.000933713,4.04E-05,0.000186719,379.9851401
0.000338518,0.00041889,0.000933713,9.81E-05,0.000186719,156.3657675
0.002823093,0.002888584,0.000933713,0.000676208,0.000186719,22.67546672
0.004099112,0.004495079,0.000933713,0.001052283,0.000186719,14.57148956
0.00044312,0.000470765,0.000933713,0.000110205,0.000186719,139.1352611
0.001165041,0.0013534,0.000933713,0.000316826,0.000186719,48.39663503
0.003594622,0.003019471,0.000933713,0.000706848,0.000186719,21.6925407
0.001868187,0.001982601,0.000933713,0.00046412,0.000186719,33.03741493
0.000419948,0.000512434,0.000933713,0.000119959,0.000186719,127.8212508
0.002133937,0.00213728,0.000933713,0.00050033,0.000186719,30.64642274
0.001529422,0.001520786,0.000933713,0.000356011,0.000186719,43.06983177
0.000704465,0.000803195,0.000933713,0.000188025,0.000186719,81.54932187
0.002464564,0.003461311,0.000933713,0.000810281,0.000186719,18.92346808
0.016246558,0.01783583,0.000933713,0.004175309,0.000186719,3.672382972
0.00202607,0.001947933,0.000933713,0.000456005,0.000186719,33.62538138
0.000478579,0.000493011,0.000933713,0.000115412,0.000186719,132.8570774
0.002227204,0.002304052,0.000933713,0.000539371,0.000186719,28.42818399
0.000949018,0.000913387,0.000933713,0.000213821,0.000186719,71.71107666
0.002988589,0.003483155,0.000933713,0.000815395,0.000186719,18.80478976
0.005772805,0.005239255,0.000933713,0.001226492,0.000186719,12.50177786
0.001146003,0.001173549,0.000933713,0.000274724,0.000186719,55.81361098
0.00307209,0.00290968,0.000933713,0.000681146,0.000186719,22.51106588
0.000820789,0.00075006,0.000933713,0.000175586,0.000186719,87.32638176
0.000664649,0.000663777,0.000933713,0.000155388,0.000186719,98.67776022
0.00265638,0.002993338,0.000933713,0.000700731,0.000186719,21.88192633
0.001888371,0.001701457,0.000933713,0.000398306,0.000186719,38.49641271
0.000539857,0.000687856,0.000933713,0.000161025,0.000186719,95.22348319
0.000349172,0.000379332,0.000933713,8.88E-05,0.000186719,172.6720772
0.002801021,0.002948093,0.000933713,0.000690139,0.000186719,22.21775566
0.00311133,0.003242728,0.000933713,0.000759112,0.000186719,20.19904145
0.002946818,0.002696911,0.000933713,0.000631338,0.000186719,24.28704867
0.00049564,0.000499743,0.000933713,0.000116988,0.000186719,131.0674037
0.004463627,0.004368963,0.000933713,0.00102276,0.000186719,14.99211461
0.003777919,0.003896079,0.000933713,0.000912059,0.000186719,16.8117756
0.002394936,0.002518475,0.000933713,0.000589567,0.000186719,26.00780024
0.008395914,0.007962304,0.000933713,0.001863949,0.000186719,8.226261854
0.003367857,0.00304007,0.000933713,0.00071167,0.000186719,21.54555632
0.002219541,0.002955635,0.000933713,0.000691904,0.000186719,22.1610616
0.001852009,0.00178015,0.000933713,0.000416727,0.000186719,36.79465824
0.000912908,0.000896729,0.000933713,0.000209921,0.000186719,73.04326628
0.000313359,0.000335998,0.000933713,7.87E-05,0.000186719,194.941921
0.000841746,0.000776244,0.000933713,0.000181716,0.000186719,84.38070687
0.007251345,0.007744576,0.000933713,0.00181298,0.000186719,8.457531625
0.000341827,0.000360906,0.000933713,8.45E-05,0.000186719,181.4876333
0.000837145,0.000779958,0.000933713,0.000182586,0.000186719,83.97885713
0.002089057,0.001770928,0.000933713,0.000414568,0.000186719,36.98625238
0.000433741,0.000430967,0.000933713,0.000100888,0.000186719,151.9838896
0.000975184,0.001045281,0.000933713,0.000244697,0.000186719,62.66257203
0.001933968,0.002254666,0.000933713,0.00052781,0.000186719,29.0508656
0.003409644,0.003618421,0.000933713,0.00084706,0.000186719,18.10181749
0.000629671,0.00071431,0.000933713,0.000167218,0.000186719,91.6968321
0.020771928,0.021870401,0.000933713,0.005119788,0.000186719,2.994915393
0.002302386,0.002256717,0.000933713,0.00052829,0.000186719,29.0244617
0.005878406,0.006604617,0.000933713,0.001546119,0.000186719,9.917304731
0.023130643,0.017709897,0.000933713,0.004145828,0.000186719,3.698496862
0.001478244,0.001487255,0.000933713,0.000348161,0.000186719,44.04087773
0.002422369,0.002190446,0.000933713,0.000512776,0.000186719,29.90258895
0.013524926,0.017786903,0.000933713,0.004163855,0.000186719,3.682484839
0.002744921,0.002590231,0.000933713,0.000606364,0.000186719,25.28732446
0.001010935,0.0011951,0.000933713,0.000279769,0.000186719,54.80713735
0.001010388,0.000934954,0.000933713,0.00021887,0.000186719,70.05693731
0.001402312,0.001373932,0.000933713,0.000321633,0.000186719,47.67339781
0.000803084,0.000859429,0.000933713,0.00020119,0.000186719,76.21335313
0.001736899,0.00153757,0.000933713,0.00035994,0.000186719,42.59969398
0.001146826,0.001267417,0.000933713,0.000296698,0.000186719,51.67990507
0.001976474,0.002155634,0.000933713,0.000504627,0.000186719,30.38549865
0.005232858,0.00597621,0.000933713,0.001399011,0.000186719,10.96012414
0.001306658,0.001438837,0.000933713,0.000336827,0.000186719,45.52286552
0.000743951,0.000686497,0.000933713,0.000160707,0.000186719,95.41190913
0.000157935,0.000154136,0.000933713,3.61E-05,0.000186719,424.9483196
0.003378254,0.003096946,0.000933713,0.000724985,0.000186719,21.14986947
